year,country_id,country,region,latitude,longitude,success,suicide,attack_type,target_type,gname,weapon_type,nperps,nkill,nkillus,nkillter,nwound
2014,4,Afghanistan,South Asia,31.640116,64.240273,1,0,Bombing/Explosion,Private Citizens & Property,Taliban,Explosives/Bombs/Dynamite,-99,3,0,0,0
2014,4,Afghanistan,South Asia,34.643136,71.026034,1,0,Bombing/Explosion,Private Citizens & Property,Taliban,Explosives/Bombs/Dynamite,-99,1,0,0,2
2014,153,Pakistan,South Asia,34.739867,71.530072,1,0,Bombing/Explosion,Police,Tehrik-i-Taliban Pakistan (TTP),Explosives/Bombs/Dynamite,-99,0,0,0,5
2014,153,Pakistan,South Asia,34.688215,71.218806,1,0,Bombing/Explosion,Military,Tehrik-i-Taliban Pakistan (TTP),Explosives/Bombs/Dynamite,-99,1,0,0,5
2014,153,Pakistan,South Asia,34.792304,72.282512,0,0,Bombing/Explosion,Unknown,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,95,Iraq,Middle East & North Africa,36.363071,43.172606,1,0,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite,-99,1,0,0,1
2014,95,Iraq,Middle East & North Africa,33.641222,42.837057,1,0,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,95,Iraq,Middle East & North Africa,35.796628,43.293275,1,0,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite,-99,1,0,0,2
2014,95,Iraq,Middle East & North Africa,33.061872,44.358307,1,0,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,-99,4,0,0,12
2014,95,Iraq,Middle East & North Africa,33.34692,44.491284,1,0,Bombing/Explosion,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,-99,3,0,0,7
2014,95,Iraq,Middle East & North Africa,36.359748,43.136273,1,0,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,2
2014,95,Iraq,Middle East & North Africa,36.272349,43.160406,1,0,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,95,Iraq,Middle East & North Africa,32.78751,44.288128,1,0,Bombing/Explosion,Utilities,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,95,Iraq,Middle East & North Africa,32.787509,44.288128,1,0,Bombing/Explosion,Utilities,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,4,Afghanistan,South Asia,37.346664,69.533888,1,0,Bombing/Explosion,Private Citizens & Property,Taliban,Explosives/Bombs/Dynamite,-99,1,0,0,12
2014,95,Iraq,Middle East & North Africa,31.015075,47.429624,1,0,Armed Assault,Government (General),Unknown,Firearms,-99,1,0,0,1
2014,95,Iraq,Middle East & North Africa,36.3683,43.136987,1,0,Armed Assault,Military,Unknown,Firearms,-99,1,0,0,1
2014,95,Iraq,Middle East & North Africa,36.407064,43.088957,1,0,Armed Assault,Military,Islamic State of Iraq and the Levant (ISIL),Firearms,-99,1,0,0,0
2014,160,Philippines,Southeast Asia,7.361263,125.863427,1,0,Hostage Taking (Kidnapping),Government (General),New People's Army (NPA),Firearms,2,0,0,0,0
2014,92,India,South Asia,24.645616,93.885866,1,0,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,1
2014,153,Pakistan,South Asia,30.182971,66.998734,0,0,Bombing/Explosion,Unknown,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,92,India,South Asia,33.371523,74.315172,0,0,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,92,India,South Asia,18.547195,82.476928,0,0,Bombing/Explosion,Military,Maoists,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,113,Libya,Middle East & North Africa,32.117232,20.067702,1,0,Bombing/Explosion,Terrorists/Non-State Militia,Haftar Militia,Explosives/Bombs/Dynamite,-99,1,0,0,0
2014,113,Libya,Middle East & North Africa,32.808412,13.150967,1,0,Hostage Taking (Kidnapping),Government (General),Unknown,Unknown,-99,,0,0,
2014,92,India,South Asia,32.600431,74.808347,0,0,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,4,Afghanistan,South Asia,36.21759,65.931873,1,0,Unknown,Police,Taliban,Unknown,-99,3,0,2,0
2014,214,Ukraine,Eastern Europe,48.516667,38.583333,1,0,Facility/Infrastructure Attack,Utilities,Unknown,Firearms,18,0,0,0,0
2014,153,Pakistan,South Asia,31.72,72.9789,1,0,Hostage Taking (Kidnapping),Private Citizens & Property,Unknown,Firearms,5,8,0,5,0
2014,4,Afghanistan,South Asia,32.983333,67.966667,1,0,Unknown,Government (General),Taliban,Unknown,-99,3,0,3,0
2014,4,Afghanistan,South Asia,32.983333,67.966667,1,0,Bombing/Explosion,Unknown,Taliban,Explosives/Bombs/Dynamite,9,9,0,9,0
2014,138,Myanmar,Southeast Asia,20.816667,92.366667,1,0,Armed Assault,Police,Rohingya Solidarity Organization,Firearms,60,4,0,0,1
2014,205,Thailand,Southeast Asia,6.541138,101.280396,1,0,Armed Assault,Police,Unknown,Firearms,1,0,0,0,1
2014,205,Thailand,Southeast Asia,6.075992,101.297732,1,0,Facility/Infrastructure Attack,Utilities,Unknown,Incendiary,2,0,0,0,0
2014,95,Iraq,Middle East & North Africa,33.3,44.4,1,0,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,-99,2,0,0,7
2014,95,Iraq,Middle East & North Africa,36.340133,43.13,1,0,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite,-99,2,0,0,4
2014,95,Iraq,Middle East & North Africa,33.315765,44.508368,1,0,Armed Assault,Police,Unknown,Firearms,-99,3,0,0,0
